Title,Price,Rating,Brand,RAM,Processor-Brand,Hard-Disk
"Lenovo IdeaPad Slim 1 Intel Core Celeron N4020 14""...",23990,3.3,LENOVO,8GB,INTEL,512GB
Acer TravelMate P2 Business Laptop Intel Core i7-1...,53999,4.0,ACER,16GB,INTEL,1TB
Acer Nitro V Gaming Laptop AMD Ryzen 7-7735HS with...,72990,4.1,ACER,16GB,AMD,512GB
"HP 15, AMD Ryzen 5 7520U, 16GB DDR5, 512GB SSD, (W...",44990,3.3,HP,16GB,AMD,512GB
"ASUS Vivobook 16 (2023), Intel Core i9-13900H 13th...",79990,4.1,ASUS,16GB,INTEL,512GB
"Lenovo IdeaPad 1 AMD Ryzen 5 5500U 15.6"" (39.62cm)...",37990,4.0,LENOVO,8GB,AMD,512GB
2022 Apple MacBook Air Laptop with M2 chip: 13.6-i...,94990,3.0,APPLE,16GB,APPLE,256GB
"MSI Thin 15, Intel 13th Gen. Core i5-13420H, 40CM ...",61242,4.3,MSI,16GB,INTEL,512GB
"HP 15s, 12th Gen Intel Core i5-1235U, 8GB DDR4, 51...",46490,4.2,HP,8GB,INTEL,512GB
Lenovo IdeaPad Slim 3 13th Gen Intel Core i7-13620...,65990,3.9,LENOVO,16GB,INTEL,512GB
Lenovo IdeaPad Slim 3 13th Gen Intel Core i7-13620...,65290,4.0,LENOVO,16GB,INTEL,512GB
"Lenovo ThinkBook 14 Intel 13th Gen Core i3 14"" (35...",43990,4.0,LENOVO,8GB,INTEL,512GB
2022 Apple MacBook Air Laptop with M2 chip: 13.6-i...,94990,3.0,APPLE,16GB,APPLE,256GB
HP 15s AMD Ryzen 5 5500u (8GB DDR4 RAM/ 512 GB NVM...,37490,4.0,HP,8GB,AMD,512GB
"MSI Thin A15, Ryzen 5 7535HS, 40CM FHD 144Hz Gamin...",58425,4.2,MSI,16GB,AMD,512GB
"HP 15s, 12th Gen Intel Core i5 16GB RAM/512GB SSD ...",49600,3.9,HP,16GB,INTEL,512GB
"ASUS Vivobook Go 15 (OLED) 2023, AMD Ryzen 5 7520U...",50990,4.2,ASUS,16GB,AMD,512GB
(Refurbished) Lenovo ThinkPad T470 7th Gen Intel C...,15970,3.4,LENOVO,8GB,INTEL,256GB
"HP Laptop 240 G9 (2024), Intel Core i3 12th Gen 12...",34075,3.4,HP,16GB,INTEL,512GB
Acer Aspire Lite 12th Gen Intel Core i3-1215U Prem...,32990,3.9,ACER,16GB,INTEL,512GB
"Lenovo ThinkPad E16 Intel Core i5 13th Gen 16"" WUX...",68100,3.2,LENOVO,16GB,INTEL,512GB
"Lenovo ThinkPad E14 Intel Core i5 13th Gen 14"" WUX...",74990,5.0,LENOVO,16GB,INTEL,1TB
"ASUS ROG Strix Scar 16 (2024), Intel Core i9 14900...",297990,3.4,ASUS,32GB,INTEL,2TB
"ASUS Vivobook Go 14, AMD Ryzen 3 7320U, Thin and L...",30980,4.1,ASUS,8GB,AMD,512GB
"Samsung Galaxy Book4 (Gray, 16GB RAM, 512GB SSD) |...",57449,3.2,SAMSUNG,16GB,INTEL,512GB
"Chuwi HeroBook Plus 15.6"" FHD Laptop, Intel Celero...",18990,3.6,CHUWI,8GB,INTEL,256GB
Lenovo LOQ 2024 13th Gen Core i5-13450HX | NVIDIA ...,86990,4.1,LENOVO,16GB,INTEL,512GB
"MSI Thin 15, Intel Core i7-12650H, 40CM FHD 144Hz ...",61999,3.9,MSI,16GB,INTEL,1TB
"Lenovo V15 G3 (2024), Intel Core i3 12th Gen 1215U...",33890,4.0,LENOVO,16GB,INTEL,512GB
"HP 15 Ryzen 3 7320U (8GB RAM/512GB SSD/FHD/15.6"" (...",33990,4.1,HP,8GB,AMD,512GB
"Lenovo ThinkPad E14 Intel Core i3 13th Gen 14"" WUX...",48590,3.7,LENOVO,8GB,INTEL,512GB
"Lenovo ThinkPad E14 Intel Core i7 13th Gen 14"" WUX...",87990,1.0,LENOVO,16GB,INTEL,512GB
"Lenovo ThinkBook 14 Intel 13th Gen Core i3 14"" (35...",43990,4.0,LENOVO,8GB,INTEL,512GB
"Lenovo ThinkPad E16 Intel Core i3 13th Gen 16"" WUX...",49000,3.7,LENOVO,8GB,INTEL,512GB
"Dell XPS 9720 Laptop,Intel i9-12900HK, 32GB DDR4 &...",328990,2.9,DELL,32GB,INTEL,1TB
HP 15s Intel Core i5 12th Gen (16GB DDR4 RAM/ 512 ...,49890,3.8,HP,16GB,INTEL,512GB
Acer ALG Gaming Laptop 12th Gen Intel Core i5 Proc...,51990,3.8,ACER,8GB,INTEL,512GB
"ASUS Zenbook 14, Intel Core Ultra 9 185H, 14"" 3K O...",134990,3.0,ASUS,32GB,INTEL,1TB
Lenovo IdeaPad Slim 3 12th Gen Core i7-1255U 15.6i...,60190,4.0,LENOVO,16GB,INTEL,512GB
"HP Victus, AMD Ryzen 5 5600H, AMD Radeon RX 6500 G...",49990,3.4,HP,8GB,AMD,512GB
"Lenovo V14 G3 (2024), Intel Core i3 12th Gen 1215U...",34990,4.0,LENOVO,16GB,INTEL,512GB
HP Pavilion (2021) Intel 11th Gen Core i5 14 inche...,63900,4.3,HP,16GB,INTEL,512GB
Lenovo IdeaPad Slim 3 13th Gen Intel Core i7-13620...,65990,3.9,LENOVO,16GB,INTEL,512GB
